,time,moisture,moisture2,moisture3,sunlight
0,1707174933.0,52.25,20.95,8.6,0.0
1,1707174973.0,51.95,20.35,8.0,0.0
2,1707175013.0,51.9,20.65,8.2,0.0
3,1707175053.0,52.0,20.95,8.15,0.0
4,1707175093.0,52.15,21.15,8.7,0.0
5,1707175133.0,52.2,21.1,8.0,0.0
6,1707175172.8,52.05,20.95,8.6,0.0
7,1707175213.0,51.55,20.3,7.9,0.0
8,1707175253.0,51.75,20.6,8.35,0.0
9,1707175293.0,52.05,21.05,8.5,0.0
10,1707175333.0,51.85,20.55,8.0,0.0
11,1707175372.4,51.85,20.75,8.1,0.0
12,1707175412.0,51.4,20.15,7.55,0.0
13,1707175452.0,52.25,21.0,8.65,0.0
14,1707175492.0,51.85,20.8,8.15,0.0
15,1707175532.0,51.65,20.65,8.05,0.0
16,1707175573.2,51.95,20.95,8.6,0.0
17,1707175615.2,59.4,61.6,7.35,0.0
18,1707175657.0,87.0,61.1,8.65,0.0
19,1707175697.4,82.5,46.65,8.6,0.0
20,1707175737.4,81.3,41.95,8.1,0.0
21,1707175777.2,80.4,39.95,8.3,0.0
22,1707175817.0,80.4,37.65,7.85,0.0
23,1707175857.0,79.55,36.85,7.95,0.0
24,1707175897.0,79.85,36.2,8.5,0.0
25,1707175937.0,79.25,35.5,7.75,0.0
26,1707175977.0,78.8,34.65,7.6,0.0
27,1707176017.0,78.6,34.35,7.85,0.0
28,1707176057.0,78.3,34.05,7.6,0.0
29,1707176097.0,78.6,34.4,8.25,0.0
30,1707176137.0,78.5,34.35,8.65,0.0
31,1707176177.0,78.35,33.9,21.4,0.0
32,1707176216.0,77.9,33.45,30.55,0.0
33,1707176255.0,77.75,33.5,19.4,0.0
34,1707176295.0,78.05,33.2,19.4,0.0
35,1707176335.0,77.5,32.6,18.8,0.0
36,1707176375.2,77.05,32.65,19.3,0.0
37,1707176415.0,77.15,32.25,20.4,0.0
38,1707176455.0,77.4,32.6,21.45,0.0
39,1707176495.0,77.5,32.65,22.35,0.0
40,1707176535.0,76.7,32.2,22.5,0.0
41,1707176575.0,77.25,32.5,22.95,0.0
42,1707176615.0,77.3,32.35,23.45,0.0
43,1707176655.0,76.2,32.15,23.3,0.0
44,1707176695.0,76.75,31.8,23.7,0.0
